title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,6 days ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Ingeniero/a Junior Software para equipos electrónicos,Sener Aerospace & Defence,"Tres Cantos, Community of Madrid, Spain",On-site,Full-time,Entry level,28,,Reposted 2 days ago,"['C', 'C++']"
Firmware Engineer - Avionics and Flight System,Sener Aerospace & Defence,"Tres Cantos, Community of Madrid, Spain",On-site,Full-time,Entry level,16,,Reposted 1 day ago,"['C++', 'C#', 'Go']"
AI Software Developer,Lear Corporation,"Valls, Catalonia, Spain",On-site,Full-time,Entry level,56,,Reposted 2 hours ago,"['Python', 'C#', 'TensorFlow', 'Docker', 'Hadoop']"
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
Junior Application Developer,Appward,"Santa Clarita, CA",On-site,Full-time,,100,,6 days ago,['SQL']
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
Junior Application Developer,Appward,"Santa Clarita, CA",On-site,Full-time,,100,,6 days ago,['SQL']
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,1 week ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,1 week ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Information Technology Developer,Solvix,"Pozuelo de Alarcón, Community of Madrid, Spain",On-site,Full-time,,52,,6 days ago,"['React', 'PostgreSQL']"
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
Full Stack Software Engineer (Hybrid setup),iptiQ by Swiss Re,"Madrid, Community of Madrid, Spain",Spain,,Full-time,,51,,Reposted 11 hours ago,"['AWS', 'Kotlin', 'Java', 'Docker', 'Kubernetes', 'Kafka', 'MongoDB', 'PostgreSQL', 'TypeScript', 'React']"
Ingeniero de software,Davidson Soluciones Ibérica,Greater Barcelona Metropolitan Area,Spain,Hybrid,Full-time,Associate,5,,10 hours ago,"['C++', 'Python']"
DESARROLLADOR SW C# .NET,Capgemini Engineering,"Seville, Andalusia, Spain",Spain,Remote,Full-time,Associate,66,,Reposted 9 hours ago,['C#']
Java Software Engineer (Remoto) I Hexagonal,knowmad mood,"Andalusia, Spain",Spain,Remote,Full-time,Mid-Senior level,11,,6 hours ago,['Java']
WordPress Entwickler (w/m/d),coma AG - Digitalagentur,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,14 hours ago,['PHP']
Desarrollador/a Cloud,IOON,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,5,,7 hours ago,"['Java', 'Scala', 'Clojure', 'Kotlin', 'Kubernetes', 'PostgreSQL', 'Redis', 'Kafka']"
Python Developer,Hays,"Málaga, Andalusia, Spain",Spain,Hybrid,Full-time,Associate,36,,11 hours ago,"['Python', 'GCP', 'SQL', 'BigQuery', 'Snowflake', 'Docker']"
Fullstack Developer - Development Services,King,"Barcelona, Catalonia, Spain",Spain,,Full-time,,100,,Reposted 11 hours ago,"['JavaScript', 'TypeScript', 'Java', 'NoSQL', 'Python', 'C++']"
Desarrollador,Davidson Soluciones Ibérica,Greater Barcelona Metropolitan Area,Spain,Hybrid,Full-time,Associate,19,,9 hours ago,"['Python', 'TensorFlow', 'PyTorch']"
Back End Developer,GCS,"Barcelona, Catalonia, Spain",Spain,Hybrid,Contract,Mid-Senior level,33,,11 hours ago,"['AWS', 'Python', 'DynamoDB', 'Jenkins', 'Docker', 'Kubernetes', 'NoSQL']"
Front-End Developer (W/M),MCA,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,22,,6 hours ago,"['React', 'Sass']"
.NET Core Developer (100% remoto),Hays,"Alicante, Valencian Community, Spain",Spain,On-site,Full-time,Mid-Senior level,6,,7 hours ago,"['Angular', 'Docker']"
Programador/a .NET,Sothis,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,Associate,13,,12 hours ago,['SQL']
Java Software Engineer (Remoto),knowmad mood,"Córdoba, Andalusia, Spain",Spain,Remote,Full-time,Mid-Senior level,15,,6 hours ago,['Java']
Java Software Engineer (Remoto),knowmad mood,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,18,,6 hours ago,['Java']
Desarrollador Full Stack IA en Moda Virtual,Raona,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,17,,12 hours ago,"['Python', 'React', 'Azure']"
PHP (Laravel) Entwickler (w/m/d),coma AG - Digitalagentur,"Valencia, Valencian Community, Spain",Spain,Remote,Contract,Entry level,20,,14 hours ago,"['Laravel', 'PHP']"
Senior Software Developer,WeHunt España,"Provincia de Cantabria, Cantabria, Spain",Spain,Hybrid,Full-time,Mid-Senior level,4,,12 hours ago,"['PHP', 'Laravel', 'Symfony', 'PostgreSQL']"
Ingeniero de Software Python,Babel,"Andalusia, Spain",Spain,Hybrid,Full-time,Associate,18,,7 hours ago,['Python']
[Full Remote] GCP Data Engineer,Joinrs España,Spain,Spain,Remote,Full-time,Entry level,13,,7 hours ago,"['SQL', 'BigQuery', 'Python']"
Senior Data Scientist,TomTom,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,80,,Reposted 11 hours ago,"['Java', 'Spark', 'Python', 'Scala']"
Ingeniero/a Desarrollo Software Angular,Joppy,"Torrejón de Ardoz, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,9 hours ago,"['Angular', 'HTML', 'CSS', 'TypeScript']"
React Native Senior Developer,CoverManager,"Seville, Andalusia, Spain",Spain,On-site,Full-time,Mid-Senior level,2,,8 hours ago,['React']
Java Software Engineer (Remoto) I Hexagonal,knowmad mood,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Mid-Senior level,9,,6 hours ago,['Java']
Software Engineer II,TomTom,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,37,,Reposted 11 hours ago,['Java']
"Desarrollador/a Full Stack (Plataforma Smart City) - Murcia, España",Libelium,"Murcia, Región de Murcia, Spain",Spain,Hybrid,Full-time,,9,,4 hours ago,"['Docker', 'Python', 'JavaScript']"
Desarrollador/a de aplicaciones,ACCIONA,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Associate,3,,4 hours ago,"['PHP', 'SQL', 'Symfony', 'Laravel', 'Azure', 'Angular', 'React']"
Programador/a Cobol SQL - Junior,Métrica Consulting,Spain,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 5 hours ago,['SQL']
R&D (ADC) Software Developer,Siemens,"Tres Cantos, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,34,,Reposted 11 hours ago,"['C', 'Python']"
Arquitecto/a Front-end,"CON&SEL15, Consultoría y Selección","Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,23,,13 hours ago,['React']
Software Engineer - Windows Kernel Sensors (Remote),CrowdStrike,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Mid-Senior level,53,,Reposted 11 hours ago,['C++']
Fullstack Developer,Omada,"Alicante, Valencian Community, Spain",Spain,Hybrid,Full-time,Mid-Senior level,18,,12 hours ago,"['C#', 'SQL', 'Azure']"
Desarrollador Frontend,Savour Digital Agency,"Elche, Valencian Community, Spain",Spain,On-site,Full-time,,2,,2 hours ago,"['HTML', 'CSS', 'JavaScript', 'MySQL']"
Programador o Programadora a la Unitat Sistemes d'Informació,Universitat de Vic – Universitat Central de Catalunya,"Vic, Catalonia, Spain",Spain,On-site,Contract,Entry level,0,,3 hours ago,"['PHP', 'HTML', 'CSS', 'Java']"
Coding Expertise for AI Training - Tier 2 - Non US,Outlier,Spain,Spain,Remote,Full-time,Entry level,77,,Reposted 11 hours ago,"['Java', 'Python', 'JavaScript', 'TypeScript', 'C++']"
Embedded Software Engineer (Madrid or Barcelona),TTTech Auto,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,23,,10 hours ago,['C']
Técnico/a de desarrollo Java,Apiux Tech,Spain,Spain,Remote,Full-time,Mid-Senior level,40,,21 hours ago,"['Java', 'Angular', 'SQL', 'AWS']"
Bubble Developer,Ademia,Greater Santa Cruz de Tenerife Metropolitan Area,Spain,On-site,Full-time,,2,,5 hours ago,['Flutter']
Embedded Software Architect,Capgemini Engineering,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,2,,Reposted 9 hours ago,"['C', 'C++']"
Data Engineer 2024,KAIROS DIGITAL SOLUTIONS,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,,7,,5 hours ago,"['SQL', 'Snowflake', 'Python', 'Azure']"
Data Scientist,NielsenIQ,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,100,,Reposted 11 hours ago,['SQL']
"Ingeniero/a de Desarrollo de SW - C, C++, Qt - Modalidad Presencial (Getafe, Madrid)",Orbital Critical Systems (Grupo CAF),"Getafe, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,10,,12 hours ago,"['C', 'C++']"
Desarrollador .NET (con AWS),Devoteam,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,79,,Reposted 11 hours ago,"['AWS', 'Redis', 'NoSQL', 'MongoDB', 'SQL', 'Docker', 'C#']"
Desarrollador/a TIBCO,Arktic,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1,,3 hours ago,['Java']
Desarrollador/a PHP,Malthus Darwin,"Reus, Catalonia, Spain",Spain,On-site,Full-time,Associate,11,,11 hours ago,"['PHP', 'Docker']"
REACT NATIVE DEVELOPER,ACCIONA,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Associate,6,,4 hours ago,['React']
Cobol Developer,BBVA Technology en Europa,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,18,,13 hours ago,['DB2']
API Engineer,Infinity Quest,"Málaga, Andalusia, Spain",Spain,Hybrid,Contract,Mid-Senior level,5,,5 hours ago,"['AWS', 'JavaScript', 'Python', 'Shell']"
Java Software Engineer (Remoto) Nuevos proyectos,knowmad mood,"Salamanca, Castilla and Leon, Spain",Spain,Remote,Full-time,Mid-Senior level,12,,6 hours ago,"['Java', 'Spring']"
Desarrollador de microservicios con Spring Boot (100% remoto desde España),UST,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,10,,6 hours ago,"['Java', 'Spring', 'Kubernetes']"
Gen AI Consultants,Luca TIC,Spain,Spain,Remote,Full-time,Mid-Senior level,30,,6 hours ago,"['Azure', 'AWS', 'Python']"
Software Engineer (with GCP experience),Sportserve,"San Roque, Andalusia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,8 hours ago,"['Firestore', 'Flask', 'Django', 'SQL', 'BigQuery', 'Go', 'Python', 'GCP', 'Jenkins']"
Lead Software Developer,Thoughtworks,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,,7,,5 hours ago,"['Kotlin', 'JavaScript', 'TypeScript', 'Ruby', 'C#', 'Java', 'AWS', 'Docker', 'Kubernetes']"
Cloud Engineer,Oxigent Technologies,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,73,,Reposted 5 hours ago,['AWS']
PERFIL DESARROLLADOR/A COBOL/GRAVITY Y PARTENON,Alvea Soluciones Tecnológicas,Spain,Spain,Remote,Full-time,,0,,44 minutes ago,['COBOL']
Senior Full Stack Software Developer (React / Next.js / Kotlin / Java),Thoughtworks,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,,33,,Reposted 11 hours ago,"['Kotlin', 'AWS']"
Data Engineer,Nunegal Consulting,Spain,Spain,Remote,Full-time,Associate,100,,Reposted 13 hours ago,"['SQL', 'Snowflake']"
Software Architect,XERIDIA,"Valladolid, Castilla and Leon, Spain",Spain,Hybrid,Full-time,,5,,14 hours ago,"['Azure', 'Java', 'C#', 'JavaScript', 'Angular', 'Python', 'GCP', 'AWS']"
Desarrollador de Python,HOLA CONSULTORES SL,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,100,,Reposted 12 hours ago,"['Java', 'Python', 'PHP', 'SQL', 'NoSQL']"
Desarrollador/a Backend (Java) Operaciones Aeroportuarias,Joppy,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,6,,9 hours ago,['Java']
Data Engineer - Inglés Alto,Claire Joster,"Málaga, Andalusia, Spain",Spain,Hybrid,Full-time,Associate,15,,Reposted 8 hours ago,['Python']
Senior Java Developer Microservicios (Remoto 100%),Plexus Tech,Spain,Spain,Remote,Full-time,Associate,33,,10 hours ago,"['Java', 'AWS', 'Spring', 'Kubernetes']"
Frontend Angular Developer (€50K - €60K),Joppy,"Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,4,,9 hours ago,"['Angular', 'TypeScript', 'JavaScript', 'HTML', 'Jenkins', 'Java']"
Data Engineer (Azure / Power BI),TSD Consulting,"Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,16,,12 hours ago,"['Azure', 'Oracle', 'SQL', 'Jenkins']"
Staff Python Engineer - Fintech,Ebury,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,22,,Reposted 11 hours ago,"['Python', 'Jenkins']"
ARQUITECTO/A DE SOFTWARE SENIOR TIC,ACCIONA,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,1 person clicked apply,,10 hours ago,"['C#', 'Python']"
Senior Full-Stack Developer,SymphonyAI,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,6,,20 hours ago,"['HTML', 'CSS', 'JavaScript', 'React', 'Angular', 'Java', 'Python', 'Ruby', 'SQL', 'NoSQL', 'Azure']"
Senior Back-End Engineer,Veriff,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Mid-Senior level,41,,Reposted 11 hours ago,['TypeScript']
Desarrollador/a Sr. Android/Kotlin (50-60K€),SABIA Personal,"Esplugues de Llobregat, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,10,,6 hours ago,['Kotlin']
Senior Software Engineer Backend/AI,Aircall,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,6,,21 hours ago,"['AWS', 'Java', 'Ruby', 'Python']"
Java Software Engineer + Cloud (Remoto),knowmad mood,Spain,Spain,Remote,Full-time,Mid-Senior level,16,,6 hours ago,"['Java', 'Spring', 'Docker', 'Kubernetes', 'Azure']"
Front end Angular Developer,PIXIE,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,28,,10 hours ago,['Angular']
Data Engineer,GT Motive Spain,Spain,Spain,Remote,Full-time,Mid-Senior level,3,,2 hours ago,"['Azure', 'SQL', 'Oracle']"
Senior Backend Developer (100% Remote),Exceltic,Spain,Spain,Remote,Full-time,Associate,68,,13 hours ago,"['Spring', 'Oracle', 'PostgreSQL', 'Jenkins', 'Docker', 'Kubernetes']"
Senior Research Engineer,DeepRec.ai,European Economic Area,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 4 hours ago,['Python']
Remote - Mobile Developer,Gaming Innovation Group,Spain,Spain,Remote,Full-time,Mid-Senior level,19,,5 hours ago,"['React', 'TypeScript', 'JavaScript']"
Software Engineer C++,Bertrandt Group,"Getafe, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,0,,3 hours ago,"['C++', 'Python']"
Lead Full-Stack Engineer,Supermetrics,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,7 hours ago,"['TypeScript', 'Docker', 'PHP', 'MySQL', 'Redis']"
Senior Data Engineer,Joppy,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,2,,8 hours ago,"['Kafka', 'Python', 'SQL', 'Java']"
Senior Data Engineer (Fintech company),Joppy,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,4,,11 hours ago,"['Python', 'Scala', 'Kafka', 'NoSQL', 'Airflow', 'AWS', 'Kubernetes']"
Programador Full-Stack Senior,Megablok S.A.U.,"Zaragoza, Aragon, Spain",Spain,Hybrid,Full-time,,5,,11 hours ago,"['SQL', 'MySQL', 'PHP']"
Copy of SRE (python),ORBIDI,"Sant Cugat del Vallès, Catalonia, Spain",Spain,Hybrid,Full-time,,0,,11 hours ago,"['Python', 'AWS', 'Azure']"
SRE (python),ORBIDI,"Sant Cugat del Vallès, Catalonia, Spain",Spain,Hybrid,Full-time,,0,,11 hours ago,"['Python', 'AWS', 'Azure']"
Senior Fullstack Software Engineer,Lumosa,"Lugo, Galicia, Spain",Spain,On-site,Full-time,Mid-Senior level,0,,3 hours ago,"['GraphQL', 'TypeScript', 'Angular', 'C#', 'MongoDB', 'Docker', 'PHP', 'MySQL', 'C++']"
Senior React Native Mobile Engineer - Spain,webook.com We're All About Fun,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,1 person clicked apply,,6 hours ago,['React']
Desarrolladores/as Drupal,hiberus,Spain,Spain,Remote,Full-time,Associate,17,,6 hours ago,"['CSS', 'Docker']"
Associate Principal Data Engineer,Nagarro,Spain,Spain,Remote,Full-time,Mid-Senior level,14,,17 hours ago,"['Azure', 'Snowflake', 'SQL', 'Python']"
Senior Data Engineer - EY wavespace Data & AI hub,EY,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,3,,11 hours ago,"['Python', 'SQL', 'Spark']"
Python Climate Developer For Data Standardization,Barcelona Supercomputing Center,"Madrid, Community of Madrid, Spain",Spain,On-site,Contract,Mid-Senior level,2,,3 hours ago,['Python']
Remote (Sr.) Python Data Scientist (m/f/d),RoomPriceGenie,Spain,Spain,Remote,Full-time,Mid-Senior level,15,,21 hours ago,"['Python', 'Django', 'Pandas', 'AWS']"
Data Engineer,The Knot Worldwide,"Barcelona, Catalonia, Spain",Spain,,Full-time,Entry level,100,,Reposted 3 hours ago,"['Airflow', 'SQL', 'Python', 'Bash']"
Senior Frontend Engineer_Monopoly GO,Scopely,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,8,,8 hours ago,"['React', 'AWS']"
QA Automation Engineer,NPAW,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Contract,Entry level,4,,11 hours ago,"['CSS', 'JavaScript', 'Playwright']"
Senior Backend Developer (Node.js),WeHunt España,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,Mid-Senior level,15,,12 hours ago,['AWS']
Senior Software Engineer,The Knot Worldwide,"Barcelona, Catalonia, Spain",Spain,,Full-time,Mid-Senior level,24,,Reposted 9 hours ago,"['React', 'Docker', 'Bash']"
Senior ML Data Engineer,Dow Jones,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,,13,,Reposted 11 hours ago,"['SQL', 'NoSQL', 'GCP', 'Airflow', 'PyTorch', 'Jenkins', 'Docker']"
Senior Node Engineer - Blockchain,Signify Technology,European Union,Spain,Remote,Full-time,Mid-Senior level,62,,1 day ago,"['React', 'AWS']"
Substrate Blockchain Developer,OnHires,European Union,Spain,Remote,Full-time,Mid-Senior level,31,,10 hours ago,"['Rust', 'Kubernetes', 'Docker']"
Data Scientist,AD4 Octógono,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,6,,5 hours ago,"['Pandas', 'Scikit-learn', 'Azure']"
Senior ML Data Engineer,Dow Jones,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,,15,,Reposted 11 hours ago,"['SQL', 'NoSQL', 'GCP', 'Airflow', 'PyTorch', 'Jenkins', 'Docker']"
Azure cloud engineer (híbrido-madrid),"ISCAREM Human Resources, S.L.","Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,1 person clicked apply,,3 hours ago,"['C#', 'Azure', 'PowerShell', 'GDPR', 'Express', 'AWS']"
Senior Software Developer,Oracle,Spain,Spain,Remote,Full-time,Mid-Senior level,19,,20 hours ago,"['Oracle', 'Elasticsearch', 'React', 'Angular', 'CSS', 'AWS', 'Azure']"
Security Cloud Native Consultant (SecDevOps),Devoteam | Cyber Trust,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,32,,Reposted 11 hours ago,"['AWS', 'Azure']"
Data Engineer,Capitole,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,21,,9 hours ago,"['Python', 'Snowflake', 'AWS']"
DevOps Engineer,Axpe Consulting,Spain,Spain,Remote,Full-time,Associate,100,,Reposted 12 hours ago,"['AWS', 'Kubernetes', 'Docker']"
"Senior DevOps Engineer (Kubernetes Expert) (Local to Germany, Portugal, Spain or Bulgaria)",Naimar,Spain,Spain,Remote,Full-time,,15,,13 hours ago,"['Kubernetes', 'AWS', 'Azure', 'GCP', 'Python', 'Bash', 'Golang', 'Rust', 'C++', 'OpenShift']"
Database Engineer (NoSQL) - Blockchain,The Workshop,Greater Madrid Metropolitan Area,Spain,Hybrid,Full-time,Entry level,39,,Reposted 10 hours ago,"['MongoDB', 'Cassandra', 'Elasticsearch', 'GCP', 'AWS', 'Bash', 'Java', 'BigQuery']"
Senior System Test Engineer,K-LAGAN,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,7,,10 hours ago,['Python']
Senior Data Engineer,Minsait,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 11 hours ago,['GCP']
Remote Coding Expertise for AI Training - Tier 3 Non US,Outlier,Spain,Spain,Remote,Full-time,Mid-Senior level,61,,Reposted 11 hours ago,"['Java', 'Python', 'JavaScript', 'TypeScript', 'C++']"
Lead Platform Software Engineer /Architect,Baringa,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,15,,Reposted 11 hours ago,"['Python', 'Scala', 'Java', 'C#', 'SQL', 'Azure', 'AWS', 'DataBricks', 'Cassandra', 'VBA']"
Arquitecto frontend senior,Grupo Onetec,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,2,,4 hours ago,['Angular']
Java Senior Developer 2024,KAIROS DIGITAL SOLUTIONS,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,,5,,5 hours ago,"['Java', 'Jenkins']"
Cloud Developer,BBVA Technology en Europa,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,7,,4 hours ago,"['AWS', 'Spark', 'PySpark']"
SENIOR JAVA DEVELOPER,Capgemini Engineering,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,1 person clicked apply,,9 hours ago,"['Java', 'Docker', 'Kubernetes']"
Senior Full Stack Developer (React & UX/UI) (100% remote within Spain),UST España & Latam,Spain,Spain,Remote,Full-time,Associate,100,,Reposted 5 hours ago,['Azure']
Data Engineer,DATAIS,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Contract,Associate,7,,23 hours ago,"['Azure', 'GCP', 'AWS', 'Python', 'SQL', 'Spark', 'Kubernetes', 'Redis', 'Scala', 'Snowflake']"
Senior Data Engineer,Nebeus,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,6,,22 hours ago,"['Python', 'PostgreSQL', 'MongoDB', 'MySQL']"
Sr. Python Developer,HireTech,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,,5,,17 hours ago,"['Python', 'Django', 'FastAPI']"
DevOps Engineer_Openshift/Kubernetes,NEORIS,Spain,Spain,Remote,Full-time,Mid-Senior level,82,,Reposted 10 hours ago,"['AWS', 'Azure']"
Global Data Scientist - Junior/Mid Weight,Havas Media Network España,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,26,,Reposted 10 hours ago,"['Python', 'GCP']"
Senior Embedded Software Engineer,Capgemini Engineering,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,5,,Reposted 9 hours ago,"['C', 'C++', 'Python']"
Staff Security Engineer,Back Market,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Mid-Senior level,0,,4 hours ago,"['GCP', 'Kubernetes', 'CircleCI', 'Python', 'TypeScript', 'Golang']"
Senior Data Engineer (Python),Jobgether,Spain,Spain,Remote,Full-time,Mid-Senior level,0,,1 hour ago,"['Python', 'Hadoop', 'Spark', 'Kafka', 'MySQL', 'NoSQL', 'MongoDB', 'AWS']"
Programador full stack  Senior (Angular + .NET + Azure),Randstad Digital España,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,4,,5 hours ago,"['Angular', 'Docker', 'Azure']"
DevOps Engineer,EIS Ltd,Greater Madrid Metropolitan Area,Spain,Remote,Full-time,Mid-Senior level,0,,1 hour ago,"['AWS', 'Azure', 'Docker', 'Kubernetes', 'Jenkins', 'SQL', 'Go', 'Python', 'Snowflake']"
Senior Software Engineer – C#/Typescript,EQS Group,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,1 hour ago,"['C#', 'MySQL']"
IT Salesforce Developer,Materialise,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,82,,Reposted 11 hours ago,"['Java', 'C#', 'Ruby', 'JavaScript', 'Angular']"
Senior Backend Developer .Net/C#,Siemens Energy,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Associate,10,,22 hours ago,"['PostgreSQL', 'NoSQL', 'Azure', 'GraphQL', 'Java', 'Python', 'React']"
Lead AI Engineer,DEKRA Digital & Product Solutions,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,80,,Reposted 8 hours ago,"['Python', 'PyTorch', 'Keras', 'SQL', 'Java', 'Docker', 'Kubernetes']"
Cloud Engineer –Microsoft Identity Expert,Cognizant,"Navalcarnero, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,11,,Reposted 11 hours ago,['AWS']
QA Engineer,ThetaRay,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,5,,7 hours ago,"['Python', 'Java', 'SQL', 'Selenium']"
